ID,game_ID,player_ID,positionPlayed_code,outsPlayed,involvedInPlays,completedPlays,errors,passedBalls,stolenBasesAllowed,caughtStealing,notes
"661d4ce2-d599-47c9-ab17-0dd73b62733d","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,0,0,0,0,0,3,0,""
"ef52c8b8-2064-47f5-b91e-906604cd0b55","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","def89156-47ec-42b2-9814-ab47819fe33d",9,2,0,0,0,0,0,0,""
"1afeca5a-e10f-4077-b795-918ff66f66d9","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,4,0,0,0,0,0,0,""
"f181436f-c93e-4c0d-88c7-d9bb05ace647","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","c8e579c1-5c17-4811-a7c6-2504630d22d6",7,4,0,0,0,0,0,0,""
"23287bde-5de1-4de4-bb91-d7b90c141e96","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","60449151-ce4f-42f4-a0da-6e3ce3fc8253",5,4,0,0,0,0,0,0,""
"8583adda-36a2-4953-8739-a7fc72529ea2","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","88d4a086-36ee-4724-80c6-1d89d576e875",1,2,0,0,0,0,0,0,""
"6f663336-fd71-424a-8436-8bc8b8d55532","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","b6466032-b94f-42ef-a35b-6bfc334dc1d5",9,2,0,0,0,0,0,0,""
"42f3db3d-f131-4cb9-b6fb-9ee18e1fd1b6","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","c3d7614c-0a42-415c-8055-f1f46f1577ad",8,3,0,0,0,0,0,0,""
"ba2c756e-bc76-4159-a14a-0caebb725f2a","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","dabe745e-5cf0-4738-915e-3ac125dec269",4,3,0,0,0,0,0,0,""
"35652a7e-3ebc-4626-8f30-a3f73bcbab27","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",6,4,0,0,0,0,0,0,""
"971e7979-21a6-4467-9d72-834bacaae154","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",1,4,0,0,0,0,0,0,""
"ae396ff9-3214-47f2-9620-f1a96dc1b82d","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",4,2,0,0,0,0,0,0,""
"a25cf791-a013-4ef2-942b-d0c1c9742bf6","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","c3d7614c-0a42-415c-8055-f1f46f1577ad",1,1,0,0,0,0,0,0,""
"e1040dcc-a29c-4899-ba4d-39211990e1af","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","c8e579c1-5c17-4811-a7c6-2504630d22d6",8,1,0,0,0,0,0,0,""
"304c6841-bb7a-43f8-acf9-4c3a72d86d04","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",7,2,0,0,0,0,0,0,""
"13d0d88a-1fe7-46f1-933d-5a895c80d2c7","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","c8e579c1-5c17-4811-a7c6-2504630d22d6",1,1,0,0,0,0,0,0,""
"b3e80226-cead-46b1-aef0-55fc198a025d","df77ff1d-2380-4fb7-a8bf-8316cb8d1203","dabe745e-5cf0-4738-915e-3ac125dec269",1,1,0,0,0,0,0,0,""
"83550611-a8fb-4c4d-9623-9a43de3bdb77","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,0,0,0,0,0,7,0,""
"d8d1075a-af39-40db-8490-638c2ff74067","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",2,0,0,0,0,0,0,0,""
"d39df21f-ebd7-4211-a764-f9b952528eac","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","dabe745e-5cf0-4738-915e-3ac125dec269",1,4,0,0,0,0,0,0,""
"8b7b8b9d-d764-42b9-91fd-625e92ea186c","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",6,15,3,2,0,0,0,0,""
"9f1a7287-efc6-4f76-9157-ad1982897307","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c3d7614c-0a42-415c-8055-f1f46f1577ad",8,15,4,2,2,0,0,0,""
