ID,date,category_ID,opponent,finalTeamScore,finalOpponentScore
"df77ff1d-2380-4fb7-a8bf-8316cb8d1203",46075,"371bf113-b3f1-4fcd-9ced-2f00bbef8c30","Phillies",6,5
"34c71b52-6421-4b9a-8ebe-7ba43db85c2a",46081,"371bf113-b3f1-4fcd-9ced-2f00bbef8c30","Team Sucre",9,12
"6d8b7108-7b84-4a9b-a587-315bead8bccc",46102,"4a471dff-b281-4e29-a243-97f462ea0323","Angelinos",5,8
"c548fbaa-424f-41e0-8293-864e3d530adf",46109,"4a471dff-b281-4e29-a243-97f462ea0323","La Urbina",4,5
