ID,game_ID,player_ID,inning,plateAppearanceInGame,outcome_code,runsScored,rbis,firstPitchSwing,pitchesSeen,hardContact
"5efe1e31-3b5d-430c-b7b9-7f37d706720d","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","88d4a086-36ee-4724-80c6-1d89d576e875",2,4,"OUT",0,0,"true",3,"true"
"d7018164-f948-4018-a667-a83468f9c8e5","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","60449151-ce4f-42f4-a0da-6e3ce3fc8253",2,5,"OUT",0,0,"true",2,"true"
"1a04561d-0302-464a-8399-9372e332697b","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","b6466032-b94f-42ef-a35b-6bfc334dc1d5",2,6,"S",0,0,"true",6,"true"
"2ea9a299-9c41-423a-8c1f-eefdcd5745ea","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,7,"K",0,0,"true",5,"true"
"9bb0bf89-8467-458d-be3b-ce5d9b6d5f2f","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",3,8,"ROE",0,0,"true",5,"true"
"a5fac1af-7289-4bff-a816-78eda4c73266","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","def89156-47ec-42b2-9814-ab47819fe33d",3,9,"OUT",0,0,"true",6,"true"
"2efa158f-ce7f-4bd4-938b-7a2c4816f72c","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c8e579c1-5c17-4811-a7c6-2504630d22d6",3,1,"S",0,0,"true",3,"true"
"3e914352-50ff-4ae7-af51-adca2b7c485f","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",3,2,"OUT",0,0,"true",3,"true"
"10000fe6-5934-4b1c-bb97-087d8c8b9fda","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c3d7614c-0a42-415c-8055-f1f46f1577ad",3,3,"D",0,2,"true",5,"true"
"1f6ba343-9712-487b-b13a-d0f8ea7e2c19","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","88d4a086-36ee-4724-80c6-1d89d576e875",3,4,"OUT",0,0,"true",3,"true"
"bb98ad7b-a97b-44ff-901d-d8961b01ba5e","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","60449151-ce4f-42f4-a0da-6e3ce3fc8253",4,5,"K",0,0,"true",6,"true"
"9c2610dc-d403-43e0-a371-775ba81df0e2","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","b6466032-b94f-42ef-a35b-6bfc334dc1d5",4,6,"K",0,0,"true",5,"true"
"2fce9077-2b53-410a-a189-a1f1d17341bf","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",4,7,"BB",0,0,"true",7,"true"
"d7589523-c0f9-4387-8a92-aa977ff22b77","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",4,8,"D",0,1,"true",5,"true"
"55efc42e-1dc7-4a0a-8c31-8ae48564d59e","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","def89156-47ec-42b2-9814-ab47819fe33d",4,9,"D",0,1,"true",6,"true"
"ac3df4a4-f588-4abe-a533-c9722ffbc175","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c8e579c1-5c17-4811-a7c6-2504630d22d6",4,1,"D",0,1,"true",2,"true"
"b56f505f-4320-47bb-8bcf-6c26b2ade766","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",4,2,"D",0,1,"true",3,"true"
"2e23375f-efcd-4ff0-8843-1661ff233ffa","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c3d7614c-0a42-415c-8055-f1f46f1577ad",4,3,"T",0,1,"true",3,"true"
"05abf4fe-a1de-417c-914c-33598670eede","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","88d4a086-36ee-4724-80c6-1d89d576e875",4,4,"OUT",0,0,"true",3,"true"
"94412eb3-d1c1-4ecc-8bda-5950d61e74e1","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","60449151-ce4f-42f4-a0da-6e3ce3fc8253",5,5,"BB",0,0,"true",5,"true"
"92117ea7-1678-4ca5-8cc1-87f856b2c8d8","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","b6466032-b94f-42ef-a35b-6bfc334dc1d5",5,6,"BB",0,0,"true",4,"true"
"e3a64cb7-53ad-410a-839b-22832800a5c0","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",5,7,"BB",0,0,"true",4,"true"
"063f7c6d-806a-49e9-915c-0c4fb21fbbe8","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",5,8,"FC",0,2,"true",4,"true"
"37f08e70-0911-41f7-837e-98735bb1505e","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","b6b5e8a5-95bd-495c-8af2-e481fa22d8f4",5,9,"FC",0,0,"true",3,"true"
"8d64f2fc-dce6-45fa-8bf4-20207cf24315","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","c8e579c1-5c17-4811-a7c6-2504630d22d6",5,1,"OUT",0,0,"true",1,"true"
"39a4a60a-c36b-4119-b1fc-c3470a3c64c6","4ac602d8-2086-4ad2-be16-326eba2757d6","dabe745e-5cf0-4738-915e-3ac125dec269",1,1,"OUT",0,0,"true",4,"true"
"148d322d-3113-46dd-91c2-ac0342124ae7","4ac602d8-2086-4ad2-be16-326eba2757d6","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",1,2,"K",0,0,"true",5,"true"
